[REJECTED] 1712716296886696720 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697088 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697089 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697090 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697091 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697092 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697093 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697094 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697095 ('DLO', <Side.BUY: 1>)
1712716296886697116 ('DLO', <Side.BUY: 1>) 1 5096 16
[CANCELLED] 1712716296886697098 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697099 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697100 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697101 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697102 ('MKU', <Side.SELL: 2>)
1712716296886697117 ('MKU', <Side.BUY: 1>) 1 5127 33
[CANCELLED] 1712716296886697104 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697106 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697108 ('IGM', <Side.SELL: 2>)
1712716296886697118 ('IGM', <Side.BUY: 1>) 1 4802 77
[CANCELLED] 1712716296886697110 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697112 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697114 ('BRV', <Side.SELL: 2>)
1712716296886697119 ('BRV', <Side.BUY: 1>) 1 5048 99
1712716296886697132 ('MKU', <Side.BUY: 1>) 2 5114 26
1712716296886697134 ('MKU', <Side.BUY: 1>) 2 5114 6
1712716296886697138 ('IGM', <Side.BUY: 1>) 2 4802 57
1712716296886697140 ('IGM', <Side.BUY: 1>) 2 4802 37
1712716296886697142 ('IGM', <Side.BUY: 1>) 2 4802 17
1712716296886697144 ('BRV', <Side.BUY: 1>) 2 5048 79
1712716296886697146 ('BRV', <Side.BUY: 1>) 2 5048 59
1712716296886697126 ('DLO', <Side.BUY: 1>) 2 5092 0
1712716296886697136 ('MKU', <Side.BUY: 1>) 2 5100 0
1712716296886697115 ('EPT', <Side.BUY: 1>) 1 5145 0
[CANCELLED] 1712716296886697120 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697121 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697122 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697123 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697124 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697125 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697127 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697128 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697129 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697130 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697131 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697133 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697135 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697137 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697139 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697141 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697143 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697145 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697147 ('BRV', <Side.SELL: 2>)
1712716296886697148 ('EPT', <Side.BUY: 1>) 1 5146 0
[REJECTED] 1712716296886697164 ('DLO', <Side.SELL: 2>)
1712716296886697172 ('IGM', <Side.SELL: 2>) 2 4856 0
1712716296886697152 ('BRV', <Side.BUY: 1>) 1 5016 0
1712716296886697177 ('BRV', <Side.BUY: 1>) 2 4996 0
1712716296886697154 ('EPT', <Side.SELL: 2>) 2 5174 0
1712716296886697151 ('IGM', <Side.BUY: 1>) 1 4806 0
1712716296886697179 ('BRV', <Side.BUY: 1>) 2 4976 0
1712716296886697171 ('IGM', <Side.BUY: 1>) 2 4786 0
1712716296886697150 ('MKU', <Side.BUY: 1>) 1 5073 0
1712716296886697149 ('DLO', <Side.BUY: 1>) 1 5073 0
[CANCELLED] 1712716296886697153 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697155 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697156 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697157 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697158 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697159 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697160 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697161 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697162 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697163 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697165 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697166 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697167 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697168 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697169 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697170 ('MKU', <Side.SELL: 2>)
1712716296886697185 ('MKU', <Side.BUY: 1>) 1 5064 10
[CANCELLED] 1712716296886697173 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697174 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697175 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697176 ('IGM', <Side.SELL: 2>)
1712716296886697186 ('IGM', <Side.BUY: 1>) 1 4782 7
[CANCELLED] 1712716296886697178 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697180 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697181 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697182 ('BRV', <Side.SELL: 2>)
1712716296886697187 ('BRV', <Side.BUY: 1>) 1 4958 19
[REJECTED] 1712716296886697199 ('DLO', <Side.SELL: 2>)
1712716296886697212 ('BRV', <Side.BUY: 1>) 2 4957 0
1712716296886697184 ('DLO', <Side.BUY: 1>) 1 5074 0
1712716296886697206 ('IGM', <Side.BUY: 1>) 2 4769 0
[CANCELLED] 1712716296886697183 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697188 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697189 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697190 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697191 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697192 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697193 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697194 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697195 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697196 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697197 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697198 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697200 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697201 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697202 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697203 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697204 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697205 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697207 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697208 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697209 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697210 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697211 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697213 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697214 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697215 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697216 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697217 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886697234 ('DLO', <Side.SELL: 2>)
1712716296886697236 ('MKU', <Side.SELL: 2>) 2 5090 0
1712716296886697248 ('BRV', <Side.SELL: 2>) 2 4994 -11
1712716296886697250 ('BRV', <Side.SELL: 2>) 2 5003 0
1712716296886697252 ('BRV', <Side.SELL: 2>) 2 5023 0
1712716296886697238 ('MKU', <Side.SELL: 2>) 2 5110 0
1712716296886697218 ('EPT', <Side.BUY: 1>) 1 5197 0
1712716296886697242 ('IGM', <Side.SELL: 2>) 2 4822 0
1712716296886697244 ('IGM', <Side.SELL: 2>) 2 4842 0
1712716296886697246 ('IGM', <Side.SELL: 2>) 2 4862 0
1712716296886697230 ('DLO', <Side.SELL: 2>) 2 5102 0
1712716296886697240 ('MKU', <Side.SELL: 2>) 2 5130 0
1712716296886697223 ('EPT', <Side.BUY: 1>) 2 5177 0
1712716296886697225 ('EPT', <Side.BUY: 1>) 2 5157 0
1712716296886697232 ('DLO', <Side.SELL: 2>) 2 5122 0
[CANCELLED] 1712716296886697224 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697226 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697227 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697228 ('EPT', <Side.SELL: 2>)
1712716296886697253 ('EPT', <Side.BUY: 1>) 1 5164 19
[CANCELLED] 1712716296886697219 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697229 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697231 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697233 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697220 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697235 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697237 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697239 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697221 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697241 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697243 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697245 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697222 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697247 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697249 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697251 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886697269 ('DLO', <Side.SELL: 2>)
1712716296886697277 ('IGM', <Side.SELL: 2>) 2 4882 -1
1712716296886697283 ('BRV', <Side.SELL: 2>) 2 5072 -9
1712716296886697258 ('EPT', <Side.BUY: 1>) 2 5163 0
1712716296886697279 ('IGM', <Side.SELL: 2>) 2 4901 0
1712716296886697285 ('BRV', <Side.SELL: 2>) 2 5083 0
1712716296886697281 ('IGM', <Side.SELL: 2>) 2 4921 0
1712716296886697265 ('DLO', <Side.SELL: 2>) 2 5122 0
1712716296886697287 ('BRV', <Side.SELL: 2>) 2 5103 0
1712716296886697271 ('MKU', <Side.SELL: 2>) 2 5145 0
[CANCELLED] 1712716296886697259 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697260 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697261 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697262 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697263 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697254 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697264 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697266 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697267 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697268 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697255 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697270 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697272 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697273 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697274 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697275 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697256 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697276 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697278 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697280 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697257 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697282 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697284 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697286 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886697304 ('DLO', <Side.SELL: 2>)
1712716296886697288 ('EPT', <Side.BUY: 1>) 1 5144 0
1712716296886697312 ('IGM', <Side.SELL: 2>) 2 4958 -10
1712716296886697300 ('DLO', <Side.SELL: 2>) 2 5141 0
1712716296886697306 ('MKU', <Side.SELL: 2>) 2 5156 0
1712716296886697318 ('BRV', <Side.SELL: 2>) 2 5146 -44
1712716296886697320 ('BRV', <Side.SELL: 2>) 2 5146 -24
1712716296886697322 ('BRV', <Side.SELL: 2>) 2 5146 -4
1712716296886697308 ('MKU', <Side.SELL: 2>) 2 5176 0
1712716296886697314 ('IGM', <Side.SELL: 2>) 2 4968 0
1712716296886697316 ('IGM', <Side.SELL: 2>) 2 4988 0
1712716296886697302 ('DLO', <Side.SELL: 2>) 2 5161 0
[CANCELLED] 1712716296886697293 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697294 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697295 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697296 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697297 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697298 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697289 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697299 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697301 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697303 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697290 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697305 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697307 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697309 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697310 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697291 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697311 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697313 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697315 ('IGM', <Side.BUY: 1>)
1712716296886697326 ('IGM', <Side.BUY: 1>) 1 4988 5
[CANCELLED] 1712716296886697292 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697317 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697319 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697321 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886697339 ('DLO', <Side.SELL: 2>)
1712716296886697325 ('MKU', <Side.BUY: 1>) 1 5177 0
1712716296886697327 ('BRV', <Side.BUY: 1>) 1 5172 0
1712716296886697352 ('BRV', <Side.BUY: 1>) 2 5152 0
1712716296886697346 ('IGM', <Side.BUY: 1>) 2 4973 0
[CANCELLED] 1712716296886697323 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697328 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697329 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697330 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697331 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697332 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697333 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697324 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697334 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697335 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697336 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697337 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697338 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697340 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697341 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697342 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697343 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697344 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697345 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697347 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697348 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697349 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697350 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697351 ('IGM', <Side.SELL: 2>)
1712716296886697361 ('IGM', <Side.BUY: 1>) 1 4970 4
[CANCELLED] 1712716296886697353 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697354 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697355 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697356 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697357 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886697374 ('DLO', <Side.SELL: 2>)
1712716296886697381 ('IGM', <Side.BUY: 1>) 2 4954 0
1712716296886697362 ('BRV', <Side.BUY: 1>) 1 5152 0
[CANCELLED] 1712716296886697358 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697363 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697364 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697365 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697366 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697367 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697368 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697359 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697369 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697370 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697371 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697372 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697373 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697360 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697375 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697376 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697377 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697378 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697379 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697380 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697382 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697383 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697384 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697385 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697386 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697387 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697388 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697389 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697390 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697391 ('BRV', <Side.BUY: 1>)
1712716296886697396 ('BRV', <Side.BUY: 1>) 1 5147 6
1712716296886697395 ('IGM', <Side.BUY: 1>) 1 4950 0
[REJECTED] 1712716296886697408 ('DLO', <Side.SELL: 2>)
1712716296886697394 ('MKU', <Side.BUY: 1>) 1 5169 0
1712716296886697393 ('DLO', <Side.BUY: 1>) 1 5163 0
1712716296886697403 ('DLO', <Side.BUY: 1>) 2 5143 0
[CANCELLED] 1712716296886697392 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697397 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697398 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697399 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697400 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697401 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697402 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697403 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697404 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697405 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697406 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697407 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697409 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697410 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697411 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697412 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697413 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697414 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697415 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697416 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697417 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697418 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697419 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697420 ('IGM', <Side.SELL: 2>)
1712716296886697429 ('IGM', <Side.BUY: 1>) 1 4931 13
[CANCELLED] 1712716296886697421 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697422 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697423 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697424 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697425 ('BRV', <Side.BUY: 1>)
[REJECTED] 1712716296886697442 ('DLO', <Side.SELL: 2>)
1712716296886697449 ('IGM', <Side.BUY: 1>) 2 4924 0
1712716296886697427 ('DLO', <Side.BUY: 1>) 1 5163 0
1712716296886697451 ('IGM', <Side.BUY: 1>) 2 4904 0
1712716296886697453 ('IGM', <Side.BUY: 1>) 2 4884 0
1712716296886697432 ('EPT', <Side.SELL: 2>) 2 5193 0
[CANCELLED] 1712716296886697426 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697431 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697433 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697434 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697435 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697436 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697437 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697438 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697439 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697440 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697441 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697428 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697443 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697444 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697445 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697446 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697447 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697448 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697450 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697452 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697454 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697430 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697455 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697456 ('BRV', <Side.SELL: 2>)
[CANCELLED] 1712716296886697457 ('BRV', <Side.BUY: 1>)
[CANCELLED] 1712716296886697458 ('BRV', <Side.SELL: 2>)
[REJECTED] 1712716296886697475 ('DLO', <Side.SELL: 2>)
1712716296886697489 ('BRV', <Side.SELL: 2>) 2 5173 0
1712716296886697477 ('MKU', <Side.SELL: 2>) 2 5208 0
1712716296886697462 ('IGM', <Side.BUY: 1>) 1 4868 0
1712716296886697465 ('EPT', <Side.SELL: 2>) 2 5212 0
1712716296886697482 ('IGM', <Side.BUY: 1>) 2 4848 0
[CANCELLED] 1712716296886697459 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697464 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697466 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697467 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697468 ('EPT', <Side.BUY: 1>)
[CANCELLED] 1712716296886697469 ('EPT', <Side.SELL: 2>)
[CANCELLED] 1712716296886697460 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697470 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697471 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697472 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697473 ('DLO', <Side.SELL: 2>)
[CANCELLED] 1712716296886697474 ('DLO', <Side.BUY: 1>)
[CANCELLED] 1712716296886697461 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697476 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697478 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697479 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697480 ('MKU', <Side.BUY: 1>)
[CANCELLED] 1712716296886697481 ('MKU', <Side.SELL: 2>)
[CANCELLED] 1712716296886697483 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697484 ('IGM', <Side.BUY: 1>)
[CANCELLED] 1712716296886697485 ('IGM', <Side.SELL: 2>)
[CANCELLED] 1712716296886697486 ('IGM', <Side.BUY: 1>)
